config,use_kl_loss,use_uncertainty_loss,mmd,mmd_std,diversity,diversity_std,indistinguishability,indistinguishability_std,runs
KL+CL,True,True,0.09503776513152654,0.009912661248759239,0.043560812303788686,0.023845927701263616,0.741,0.040112342240263166,10
KL,True,False,0.09261106757323703,0.010313990432738883,0.0589263130673023,0.02040785150908964,0.7140000000000001,0.050039984012787204,10
CL,False,True,0.10156615321856151,0.01226634375003762,0.07042145676751002,0.028053311043352177,0.744,0.029051678092667867,10
Adversarial,False,False,0.09919663242901018,0.013137207792275585,0.0547325915797842,0.02550862715272462,0.7299999999999999,0.035777087639996624,10
