method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
MICE,MCAR,complete_train,0.1,42.02999446052377,9.364896626300231,hepatitis
MICE,MCAR,complete_train,0.2,45.449791709682515,8.899002813757152,hepatitis
MICE,MCAR,complete_train,0.3,44.56859118864942,9.233628577522484,hepatitis
MICE,MCAR,incomplete_train,0.1,44.61438587081396,8.84486985408618,hepatitis
MICE,MCAR,incomplete_train,0.2,45.697004312760896,8.681598157241371,hepatitis
MICE,MCAR,incomplete_train,0.3,43.10480869280643,6.5365579998675125,hepatitis
MICE,MNAR,complete_train,0.1,31.68785371636555,4.17184391909611,hepatitis
MICE,MNAR,complete_train,0.2,35.7169039336039,6.021220496685316,hepatitis
MICE,MNAR,complete_train,0.3,37.06996490482978,5.703392647405867,hepatitis
MICE,MNAR,incomplete_train,0.1,37.77772155199332,7.509627225762414,hepatitis
MICE,MNAR,incomplete_train,0.2,36.34181522375959,5.199542649530366,hepatitis
MICE,MNAR,incomplete_train,0.3,39.01209876483275,7.674098981473813,hepatitis
MeanMode,MAR,complete_train,0.1,19.12735076314699,6.222186265013731,hepatitis
MeanMode,MAR,complete_train,0.2,21.86148352242065,6.582971191383313,hepatitis
MeanMode,MAR,complete_train,0.3,21.884757685581555,2.5947233169349757,hepatitis
MeanMode,MAR,incomplete_train,0.1,19.12735076314699,6.222186265013731,hepatitis
MeanMode,MAR,incomplete_train,0.2,21.86148352242065,6.582971191383313,hepatitis
MeanMode,MAR,incomplete_train,0.3,21.884757685581555,2.5947233169349757,hepatitis
MeanMode,MCAR,complete_train,0.1,31.91225924471588,13.401815722581114,hepatitis
MeanMode,MCAR,complete_train,0.2,34.096559483598135,12.044307682299108,hepatitis
MeanMode,MCAR,complete_train,0.3,31.892404959080597,7.798476205811792,hepatitis
MeanMode,MCAR,incomplete_train,0.1,31.91225924471588,13.401815722581114,hepatitis
MeanMode,MCAR,incomplete_train,0.2,34.096559483598135,12.044307682299108,hepatitis
MeanMode,MCAR,incomplete_train,0.3,31.892404959080597,7.798476205811792,hepatitis
MeanMode,MNAR,complete_train,0.1,12.899960549801937,0.7561624469315791,hepatitis
MeanMode,MNAR,complete_train,0.2,13.34321512306217,0.207014944608528,hepatitis
MeanMode,MNAR,complete_train,0.3,14.531081106119657,0.89405604160366,hepatitis
MeanMode,MNAR,incomplete_train,0.1,12.899960549801937,0.7561624469315791,hepatitis
MeanMode,MNAR,incomplete_train,0.2,13.34321512306217,0.207014944608528,hepatitis
MeanMode,MNAR,incomplete_train,0.3,14.531081106119657,0.89405604160366,hepatitis
MissForest,MAR,complete_train,0.1,19.40957644957738,3.788412446290619,hepatitis
MissForest,MAR,complete_train,0.2,23.74214873366507,9.748515631237726,hepatitis
MissForest,MAR,complete_train,0.3,19.278901045145556,3.374758181134309,hepatitis
MissForest,MAR,incomplete_train,0.1,19.40957644957738,3.788412446290619,hepatitis
MissForest,MAR,incomplete_train,0.2,23.74214873366507,9.748515631237726,hepatitis
MissForest,MAR,incomplete_train,0.3,19.278901045145556,3.374758181134309,hepatitis
MissForest,MCAR,complete_train,0.1,36.61562176977297,11.30918211291274,hepatitis
MissForest,MCAR,complete_train,0.2,33.12577419752218,12.128749195880674,hepatitis
MissForest,MCAR,complete_train,0.3,30.46297571968632,9.887424624551619,hepatitis
MissForest,MCAR,incomplete_train,0.1,36.61562176977297,11.30918211291274,hepatitis
MissForest,MCAR,incomplete_train,0.2,33.12577419752218,12.128749195880674,hepatitis
MissForest,MCAR,incomplete_train,0.3,30.46297571968632,9.887424624551619,hepatitis
MissForest,MNAR,complete_train,0.1,13.534242296753984,5.619485010469196,hepatitis
MissForest,MNAR,complete_train,0.2,17.37161241787243,9.37239782254629,hepatitis
MissForest,MNAR,complete_train,0.3,20.599492650663493,3.0463928752694716,hepatitis
MissForest,MNAR,incomplete_train,0.1,13.534242296753984,5.619485010469196,hepatitis
MissForest,MNAR,incomplete_train,0.2,17.37161241787243,9.37239782254629,hepatitis
MissForest,MNAR,incomplete_train,0.3,20.599492650663493,3.0463928752694716,hepatitis
BGAIN,MAR,complete_train,0.1,16.284096583047223,24.0289131081675,heart
BGAIN,MAR,complete_train,0.2,27.021440576456996,14.009543810252383,heart
BGAIN,MAR,complete_train,0.3,41.1072155447644,16.651274413065124,heart
BGAIN,MAR,incomplete_train,0.1,10.772983058145595,14.193509164197609,heart
BGAIN,MAR,incomplete_train,0.2,28.498557039960883,11.760109307859256,heart
BGAIN,MAR,incomplete_train,0.3,35.32300309592524,13.129144000548227,heart
BGAIN,MCAR,complete_train,0.1,26.5633440124977,11.110489453117298,heart
BGAIN,MCAR,complete_train,0.2,34.67436668978812,3.801462386429039,heart
BGAIN,MCAR,complete_train,0.3,38.973613299382535,9.302365426236086,heart
BGAIN,MNAR,complete_train,0.1,28.282489783453165,42.51627716259281,heart
BGAIN,MNAR,complete_train,0.2,39.394705567935645,14.215214743628023,heart
BGAIN,MNAR,complete_train,0.3,35.68620308735334,5.964450113507565,heart
BGAIN,MNAR,incomplete_train,0.1,26.5495709814464,27.45130250445768,heart
